

#PROBLEM: booleforce-1.2/traces/comp & longest chain length: 4 & average chain length: 2.6667 & median chain length: 2 & timeout: 7s 
8.1!9.10		0       32299226
8.1!9.11		0       32826239
8.1!9.12		0       32278266
8.1!9.13		0       39050317
8.1!9.14		0       32858521
8.1!9.15		0       34325636
8.1!9.16		0       37398419
8.1!9.17		0       32718954
8.1!9.18		0       31666802
8.1!9.19		0       43801587
8.1!9.20		0       32850840
8.1!9.21		0       53462977
8.1!9.22		0       32996571
8.1!9.23		0       34049485
8.1!10.0		0       34531448
8.1!10.1		0       37926114
8.1!11.0		0       49625894
8.1!11.1		0       33915628
8.1!12.0		0       32779050
8.1!12.1		0       55470981
8.1!13.0		0       56409929
8.1!13.1		0       52383715
8.1!13.2		0       34149425
8.1!13.3		0       34556005
8.1!13.4		0       32689106
8.1!13.5		0       33919189
8.1!14.0		0       37788596
8.1!14.1		0       33609622
8.1!15.0		0       40209287
8.1!15.1		0       34609348
8.1!16.0		0       36602857
8.1!16.1		0       35122206
8.1!16.2		0       53811735
8.1!16.3		0       41582032
8.1!16.4		0       56002955
8.1!16.5		0       32154480
8.1!16.6		0       32905263
8.1!16.7		0       34332127
8.1!16.8		0       32708991
8.1!16.9		0       33846082
8.1!16.10		0       33557397
8.1!16.11		0       32930687
8.1!16.12		0       33291626
8.1!16.13		0       36672523
8.1!16.14		0       32622752
8.1!16.15		0       34337825
8.1!16.16		0       37504735
8.1!16.17		0       56784941
8.1!16.18		0       35825409
8.1!16.19		0       33017802
8.1!16.20		0       32781522
8.1!16.21		0       32543165
8.1!16.22		0       35905975
8.1!16.23		0       33836696
8.2!9.0		0       34629612
8.2!9.1		0       35308991
8.2!9.2		0       33088439
8.2!9.3		0       35712294
8.2!9.4		0       32883086
8.2!9.5		0       36232373
8.2!9.6		0       38518878
8.2!9.7		0       41939515
8.2!9.8		0       34549178
8.2!9.9		0       32800244
8.2!9.10		0       32999580
8.2!9.11		0       32168727
8.2!9.12		0       34816589
8.2!9.13		0       35470132
8.2!9.14		0       32833171
8.2!9.15		0       34872212
8.2!9.16		0       33197395
8.2!9.17		0       53977308
8.2!9.18		0       32726106
8.2!9.19		0       35740677
8.2!9.20		0       32142407
8.2!9.21		0       32757750
8.2!9.22		0       32562207
8.2!9.23		0       33486762
8.2!10.0		0       54449244
8.2!10.1		0       33726329
8.2!11.0		0       56028730
8.2!11.1		0       33025681
8.2!12.0		0       32842109
8.2!12.1		0       32851472
8.2!13.0		0       32832032
8.2!13.1		0       33153521
8.2!13.2		0       32080793
8.2!13.3		0       35222614
8.2!13.4		0       35014046
8.2!13.5		0       31930854
8.2!14.0		0       32826893
8.2!14.1		0       33021233
8.2!15.0		0       34720028
8.2!15.1		0       35155064
8.2!16.0		0       32877953
8.2!16.1		0       32541481
8.2!16.2		0       53463034
8.2!16.3		0       34209562
8.2!16.4		0       32060393
8.2!16.5		0       33858815
8.2!16.6		0       55091910
8.2!16.7		0       32344861
8.2!16.8		0       34349942
8.2!16.9		0       32291751
8.2!16.10		0       33485217
8.2!16.11		0       37168362
8.2!16.12		0       35275146
8.2!16.13		0       33865259
8.2!16.14		0       33348371
8.2!16.15		0       32852315
8.2!16.16		0       36416524
8.2!16.17		0       33860441
8.2!16.18		0       32721484
8.2!16.19		0       34755196
8.2!16.20		0       32604020
8.2!16.21		0       33844954
8.2!16.22		0       33063707
8.2!16.23		0       32122748
8.3!9.0		0       33127642
8.3!9.1		0       51464916
8.3!9.2		0       32802042
8.3!9.3		0       41200457
8.3!9.4		0       33043971
8.3!9.5		0       34689077
8.3!9.6		0       47217572
8.3!9.7		0       33238340
8.3!9.8		0       33196023
8.3!9.9		0       35700732
8.3!9.10		0       33405948
8.3!9.11		0       34026377
8.3!9.12		0       33164365
8.3!9.13		0       34279519
8.3!9.14		0       36948372
8.3!9.15		0       32394806
8.3!9.16		0       32236356
8.3!9.17		0       36621757
8.3!9.18		0       33553925
8.3!9.19		0       36746372
8.3!9.20		0       34264328
8.3!9.21		0       34657587
