

#PROBLEM: booleforce-1.2/traces/madeup2trace & longest chain length: 5 & average chain length: 3.3333 & median chain length: 3 & timeout: 7s 
5.0!7.62		0       43569622
5.0!7.63		0       50156550
5.0!7.64		0       44424230
5.0!7.65		0       54038349
5.0!7.66		0       44979572
5.0!7.67		0       49729822
5.0!7.68		0       43430439
5.0!7.69		0       35420220
5.0!7.70		0       39220657
5.0!7.71		0       35002169
5.0!7.72		0       42128486
5.0!7.73		0       41182801
5.0!7.74		0       41479634
5.0!7.75		0       39566299
5.0!7.76		0       39519378
5.0!7.77		0       55187641
5.0!7.78		0       47089500
5.0!7.79		0       68008333
5.0!7.80		0       55038456
5.0!7.81		0       55806551
5.0!7.82		0       54798640
5.0!7.83		0       53458858
5.0!7.84		0       49165181
5.0!7.85		0       45814891
5.0!7.86		0       63108697
5.0!7.87		0       51812772
5.0!7.88		0       60747370
5.0!7.89		0       50718774
5.0!7.90		0       55783455
5.0!7.91		0       46526124
5.0!7.92		0       52902529
5.0!7.93		0       60853905
5.0!7.94		0       49068482
5.0!7.95		0       54223183
5.0!7.96		0       41658339
5.0!7.97		0       42354928
5.0!7.98		0       68358759
5.0!7.99		0       51307218
5.0!7.100		0       50110389
5.0!7.101		0       52114337
5.0!7.102		0       38566354
5.0!7.103		0       39467549
5.0!7.104		0       54440557
5.0!7.105		0       41699365
5.0!7.106		0       38129084
5.0!7.107		0       42528370
5.0!7.108		0       56015954
5.0!7.109		0       43456946
5.0!7.110		0       58546933
5.0!7.111		0       47244140
5.0!7.112		0       36777011
5.0!7.113		0       41623004
5.0!7.114		0       40149896
5.0!7.115		0       35368450
5.0!7.116		0       35135207
5.0!7.117		0       35600864
5.0!7.118		0       43173757
5.0!7.119		0       40122767
5.1!6.0		0       32615420
5.1!6.1		0       39362442
5.1!6.2		0       35573293
5.1!6.3		0       34497880
5.1!6.4		0       39743205
5.1!6.5		0       48786290
5.1!7.0		0       55070235
5.1!7.1		0       42579463
5.1!7.2		0       44098884
5.1!7.3		0       35750324
5.1!7.4		0       39525845
5.1!7.5		0       37686505
5.1!7.6		0       48820332
5.1!7.7		0       42394915
5.1!7.8		0       38415925
5.1!7.9		0       41992524
5.1!7.10		0       34521539
